method,SSIM,PSNR_dB,CNR_0.4mm,CNR_0.8mm,CNR_1.6mm
FBP (FDK_CUDA),0.0000,-45.25,0.37,0.35,0.31
mART (50 iter),0.2254,8.65,16.42,14.66,7.36
